,description_x
2049,"Fresh Army recruit Amy Cole is assigned to Guantanamo Bay's Camp X-Ray, where she forms a surprising bond with one of the prisoners in her charge."
2050,"A low-level drug dealer decides to move up the ranks of the illegal narcotics trade in Darndale, Dublin, putting him and his gang on a violent path."
2052,"In the 1950s, a glamorous married woman and an aspiring photographer embark on a passionate, forbidden romance that will forever change their lives."
2054,"Daniel Craig makes his debut as the newly minted agent 007, who's pitted against an infamous financier of global terrorism – at the poker table."
2057,"When pretty new neighbor Seema falls for their shy roommate Sid, jealous womanizers Omi and Jai plot to break up the new lovebirds."
2058,Related tales of a family seeking refuge and two men on a train to Amritsar evoke the dreadful unease surrounding Hindu-Sikh tensions in 1980s Punjab.
2060,"In the turbulent 1930s of British colonial India, a teenager joins a ragtag army of schoolboys determined to overthrow their foreign conquerors."
2063,"The lives of five hapless, petty criminals careen into madcap disarray when their plan to abduct a wealthy minister’s son goes horribly wrong."
2064,"Jealous of the high regard in which his new wife holds their brother-in-law, a botany professor stages an elaborate prank that will even the score."
2065,"Growing up in a Rio de Janeiro slum, Rocket is able to avoid being drawn into a life of drugs and crime by having a passion for photography."
2066,"Growing up in a Rio de Janeiro slum, Rocket is able to avoid being drawn into a life of drugs and crime by having a passion for photography."
2068,"When her class rank threatens her college plans, an ambitious teen convinces a nerdy peer to run for the school board to abolish the ranking system."
2071,"In this star-studded drama, six seemingly disparate stories explore the complicated links that humanity shares through the generations."
2072,A going-away party in Manhattan is interrupted when a mysterious monster of epic proportions launches an attack on New York City.
2073,Controversial basketball coach Ken Carter puts school before sports and benches his undefeated high school team for poor academic performance.
2075,"When her boyfriend is caught up in a Chilean coup, a young woman tries to free him from a prison camp posing as a commune by joining it voluntarily."
2076,"Following a misunderstanding, a gangster and his boss part ways and become bitter enemies – with devastating consequences."
2077,"Following a misunderstanding, a gangster and his boss part ways and become bitter enemies – with devastating consequences."
2079,"A lesbian housewife, feeling trapped in a stale marriage, begins visiting female prostitutes and soon seeks excitement by becoming a sex worker."
2082,"In post-Sept. 11 Los Angeles, tensions erupt when the lives of people from all walks of life converge during a 36-hour period."
2083,This beloved sitcom follows the unlikely heroes of the volunteer British Home Guard as they prepare for German invasion in World War II.
2085,"Refusing to accept a death sentence from his doctor after being diagnosed with AIDS in 1986, Ron Woodroof smuggles medications from abroad."
2086,Irish landscape designer Mary Reynolds fights to bring her wild and unconventional style to the esteemed Chelsea Flower Show.
2088,"Stranded in a jungle when their car breaks down, six friends pass their time exchanging horror stories, unaware that they may be part of one themselves."
2089,"Following the shooting death of his older brother, a depressed and aimless 13-year-old boy falls in with a gang in rural Arkansas."
2091,A surgeon’s perfect life is rattled when his daughter is taken hostage in their own home and he's given 24 hours to pay a hefty ransom.
2092,"A father and son bond on an impromptu road trip over deep conversations, unexpected confessions, strange encounters ... and a drunken escapade."
2096,Mountain bikers – including legend Brendan Fairclough – put their skills to the test and engage in daring feats set against vivid backdrops.
2097,"Hired by a singer to defend her friend, who has been accused of murder, a formidable lawyer learns that the man he represents may not be innocent."
2107,"Convinced his stepfather caused the crash that left his mother in a coma, a law student drunkenly agrees to his murder, then can't rescind the deal."
2110,"Tipped off about buried money in Goa, four ne’er-do-well friends go on the hunt, chased by a police officer who wants the treasure for himself."
